cpu_utility_pct,memory_in_use_pct,disk_active_time_pct,virtual_memory_pct,process_count
17.672528242402752,38.5883507060315,0.6791396041301754,37.50867786779376,197
37.48693725894287,94.57920200824391,8.05792038605898,93.60701432497997,372
20.043025874268636,88.48033824254165,12.939507238738091,96.29880801328632,454
89.19453169622506,91.10405263916947,80.30714650663656,86.91621269527639,295
17.316031460495616,41.75142073501454,9.138876071859588,38.67385623887649,155
61.745421777514466,66.97979913374864,5.212404241027754,68.12758969019815,223
18.733056823010784,32.22628866449382,5.439821387371379,33.92978063713303,193
57.442313847851125,58.407231558765396,35.67745802625767,64.11888941056516,262
45.15012520212808,56.89676565163918,17.17789574685032,66.71880406459242,200
10.97992685924349,88.72271076691199,10.782504213947893,95.2673503923347,377
53.425331885490664,62.318054532509215,5.0,56.816951869841134,199
28.378561397175393,92.79009409264805,9.762997996591588,91.21814613098195,421
16.157229612627862,60.0,9.99363285041549,46.52930543093406,187
97.99606631893808,54.293496176407956,9.63617055150003,57.85372856834141,247
86.25418111965568,54.327998958090554,8.984689919694864,54.07136875209237,224
87.97187408054413,40.93339820650614,5.0,50.61682295036577,221
85.66774934281125,89.85902735400192,100.0,87.65281144996099,372
94.49609610435051,48.90010900269441,21.033510574130876,40.0,220
81.65771537726462,79.2253551088594,97.2994728376893,89.39749174851003,344
81.9906436730136,64.96489955671625,11.797849447215162,40.0,237
84.13985379560604,55.894481196838285,7.897869196490762,65.0,245
22.640156796939163,36.53960327372366,4.792410153659642,50.0,193
20.0,63.12107076112747,26.45371296675294,75.68036743843872,286
40.10781529053385,62.04566861502321,17.601381481285305,68.19242177326832,198
39.44157370698502,63.75215417608867,20.763662761759605,68.18664790682371,227
23.198414977844244,89.54306799418168,16.436406345974564,96.09312263277285,334
99.52977005006818,61.227290530196846,19.435531468126403,48.56364262897313,261
19.10079093377742,30.0,0.0,35.74388304168437,167
23.86182219663265,95.2269358882714,15.368267428012924,94.65781208049592,363
7.096980295954155,39.28097150190076,7.808555139592217,34.38983414688542,185
74.71446305853101,99.0,95.42173566346365,82.22967285591109,343
79.75499864377217,86.39663815440194,95.58941908625201,97.75525415722585,343
